"phone.number","contract.start.date","plan.id","contract.end.date","nrs","dob"
"01 455 9337",2012-10-22,1,,"E",1973-07-16
"01 859 3107",2013-01-08,1,,"C2",1950-02-27
"027 978 1619",2015-02-13,1,,"B",1983-10-08
"01 925 8559",2015-11-16,2,,"E",1950-07-19
"074 007 5358",2018-11-01,3,,"C1",1965-10-13
"090 599 0265",2018-06-22,1,,"B",1999-07-19
"01 661 7291",2017-01-24,3,2018-07-01,"C2",1979-07-30
"026 428 0018",2017-02-13,2,,"C2",1964-12-15
"01 980 0733",2012-01-04,1,,"C1",1999-04-23
"01 412 2801",2013-09-19,1,,"D",1997-04-07
"01 988 7367",2016-03-16,3,,"D",1990-07-19
"01 888 1937",2012-08-23,1,,"B",1968-10-04
"095 145 4140",2014-01-07,1,,"B",1983-01-15
"01 250 4925",2012-11-03,2,2018-07-01,"E",1965-11-12
"066 292 9582",2017-04-07,1,,"B",1955-05-18
"01 072 9808",2012-05-01,1,,"C1",1992-03-28
"064 809 9610",2014-06-13,2,,"C1",1991-10-31
"01 163 9866",2013-12-24,3,2018-07-01,"B",1966-12-28
"01 903 9317",2013-09-03,1,,"C1",1967-10-01
"056 310 6285",2013-12-19,3,,"C2",1997-12-19
"059 120 5635",2015-06-15,1,,"C2",1961-02-18
"024 052 6939",2017-04-14,3,2018-07-01,"C2",1993-01-14
"042 661 5184",2017-04-29,2,,"B",1988-12-22
"048 108 3902",2016-09-01,2,,"C1",1959-02-19
"01 225 0588",2016-10-20,1,,"C1",1999-10-17
"026 751 8348",2013-05-11,2,,"D",1979-06-18
"01 469 2714",2012-09-12,2,,"E",1964-09-27
"067 335 2616",2014-03-08,2,,"C1",1994-09-08
"091 983 2750",2015-02-02,3,,"D",1988-10-23
"067 207 0588",2015-12-08,1,,"C1",1996-05-17
"01 561 9884",2014-01-11,3,,"D",1986-01-17
"01 611 9327",2015-04-15,3,,"D",1959-04-11
"01 419 4829",2012-05-03,2,,"C1",1989-12-18
"046 075 7769",2012-12-14,3,,"C1",1969-10-02
"069 558 8392",2013-11-09,2,,"B",1967-08-14
"063 417 1641",2014-07-09,3,,"D",1991-01-16
"024 675 4400",2016-08-09,2,,"C1",1995-11-08
"01 613 6324",2015-08-19,1,,"D",1970-02-16
"096 855 4656",2013-01-06,3,,"A",1996-04-14
"028 747 6278",2013-07-26,2,,"E",1973-09-09
"041 680 6260",2014-11-28,1,2018-07-01,"B",1979-03-13
"01 257 0819",2017-04-13,1,,"C1",1974-10-05
"01 914 3900",2016-07-16,2,2018-07-01,"B",1950-05-23
"01 059 8564",2014-08-03,1,,"C1",1974-08-08
"01 043 1094",2017-11-16,1,,"C1",1982-03-04
"01 372 0488",2013-11-05,1,,"C1",1975-12-28
"041 686 2686",2013-10-29,3,,"C2",1985-10-20
"053 086 5739",2018-06-21,2,,"B",1990-05-31
"052 134 0847",2012-03-31,3,,"D",1999-02-01
"01 309 8828",2017-05-06,2,,"C2",1973-09-01
"097 486 4995",2012-10-20,1,,"C2",1996-05-29
"051 114 4011",2012-08-21,1,,"C2",1970-10-06
"01 161 9101",2017-05-23,1,,"D",1981-04-24
"044 018 8120",2012-10-10,1,,"B",1982-06-26
"061 299 8210",2017-07-16,2,,"B",1988-01-12
"067 233 8445",2017-06-02,1,,"C2",1976-05-18
"091 203 8702",2017-11-17,2,,"B",1981-08-17
"068 298 2399",2014-01-24,2,,"D",1953-11-30
"067 134 1342",2014-08-09,1,,"D",1994-02-08
"01 686 7689",2013-06-22,1,,"C1",1959-12-28
"067 031 0544",2017-06-22,1,,"C1",1991-11-06
"01 631 5379",2017-05-19,3,,"C1",1993-04-25
"01 958 2200",2017-09-08,2,,"B",1960-07-04
"01 475 8357",2018-03-19,3,,"E",1963-03-12
"01 923 5344",2015-03-21,3,,"D",1988-08-07
"01 592 0353",2015-10-20,2,,"B",1986-05-05
"01 926 1926",2013-06-16,1,,"C2",1998-05-31
"024 968 2274",2012-04-13,2,,"C1",1975-05-05
"026 766 8509",2014-11-01,2,,"D",1967-05-02
"0404 485 6400",2016-07-03,3,,"C1",1971-01-23
"025 969 8595",2018-05-28,2,,"D",1989-07-17
"01 972 6176",2015-09-29,3,,"C1",1961-07-13
"01 456 2455",2016-01-23,3,2018-07-01,"B",1990-10-28
"027 342 4777",2014-04-12,2,,"C1",1984-06-04
"056 627 4377",2012-11-13,1,,"B",1998-11-29
"01 021 1166",2015-09-21,2,,"C2",1992-01-26
"048 339 3236",2013-04-12,1,,"D",1987-12-22
"026 084 3101",2013-01-04,1,,"D",1954-02-14
"057 664 8452",2017-09-08,3,,"C1",1974-03-19
"01 671 7267",2012-02-22,1,,"B",1998-09-03
"0402 575 2153",2012-03-01,3,,"D",1997-05-29
"01 156 0204",2017-07-05,1,,"B",1989-07-01
"067 751 7713",2012-10-24,2,,"C2",1994-07-30
"01 011 4850",2015-12-20,3,,"C1",1951-02-12
"044 441 5625",2018-07-04,1,,"D",1993-03-20
"01 422 3233",2014-04-12,2,,"C1",1985-07-28
"097 845 4690",2018-06-10,2,2018-07-01,"C1",1965-11-09
"01 165 1174",2016-05-29,1,,"B",1952-01-01
"046 338 5435",2013-10-01,2,,"B",1979-01-25
"057 684 1557",2014-09-08,1,,"D",1962-06-08
"066 260 4903",2016-11-05,2,,"A",1958-01-28
"027 651 3688",2016-09-03,1,,"B",1968-01-15
"045 512 0114",2012-09-08,2,,"B",1983-07-27
"049 734 4824",2017-09-22,2,,"C1",1966-02-02
"059 712 8613",2012-11-27,1,,"C1",1995-12-03
"01 155 3612",2013-01-22,2,,"A",1972-03-19
"041 143 8348",2013-04-14,3,,"D",1997-12-04
"01 161 0426",2012-11-26,2,,"B",1994-11-09
"025 517 7374",2012-06-21,1,,"B",1951-12-20
"056 127 9680",2012-06-10,3,,"D",1999-06-09
"01 128 3979",2014-12-27,1,,"C2",1981-05-14
"01 807 0521",2018-02-13,3,,"C2",1980-05-28
"01 920 0443",2013-12-04,3,,"C1",1987-09-04
"01 184 4082",2013-06-17,3,,"C1",1993-01-07
"098 441 5863",2016-03-05,1,,"C1",1972-12-08
"01 935 2772",2016-11-07,3,,"C2",1970-07-16
"057 575 3544",2018-01-08,3,,"E",1997-11-19
"01 436 3702",2018-10-20,1,,"D",1951-10-28
"091 895 6750",2015-05-16,2,,"C1",1958-08-12
"01 731 8872",2014-10-16,1,,"C1",1977-01-29
"025 098 3803",2016-08-21,2,,"B",1974-10-13
"065 019 7885",2014-07-16,2,,"C2",1990-01-03
"01 787 7256",2014-03-04,3,,"E",1950-06-25
"093 156 6252",2016-10-25,1,,"B",1956-01-11
"099 466 1339",2013-02-11,3,,"C2",1994-07-24
"01 003 2387",2018-07-31,2,,"E",1977-12-08
"024 020 2691",2014-04-20,2,,"C1",1979-05-03
"064 971 2487",2016-02-04,1,,"C2",1985-07-29
"01 103 7034",2018-06-20,2,,"B",1985-02-21
"026 241 2182",2013-09-22,3,,"B",1974-03-06
"01 672 2360",2017-12-29,2,,"D",1975-07-11
"01 888 2049",2012-10-08,2,,"E",1987-10-05
"01 364 3082",2018-07-11,1,,"C1",1976-02-10
"0505 698 3782",2017-11-19,2,2018-07-01,"A",1986-01-29
"090 601 9763",2017-04-14,2,,"C1",1978-10-24
"01 611 5415",2014-06-24,3,,"E",1965-01-12
"01 224 8557",2016-01-04,3,,"B",1966-01-22
"0504 458 3708",2016-08-28,1,,"C1",1969-02-03
"065 708 1638",2017-11-20,3,,"C1",1952-09-03
"052 926 1311",2012-07-31,3,,"C2",1971-07-28
"01 025 8175",2016-12-08,2,2018-07-01,"B",1953-09-06
"01 809 8447",2013-11-11,1,,"D",1978-03-26
"074 252 0233",2018-03-07,1,,"B",1962-06-15
"01 818 8106",2018-07-27,3,,"C2",1982-02-02
"093 142 3288",2013-05-27,3,,"D",1959-12-17
"01 791 7350",2018-06-19,3,,"C1",1957-02-20
"027 713 2685",2015-02-06,3,,"B",1968-12-24
"01 463 4467",2014-10-17,1,,"B",1951-08-11
"067 290 7874",2012-09-12,2,2018-07-01,"C1",1960-02-05
"074 656 7821",2012-03-24,2,,"C1",1984-10-28
"01 678 7968",2013-08-23,3,,"B",1997-06-17
"01 699 7153",2013-10-21,1,,"D",1963-06-03
"01 873 5055",2017-06-14,2,,"D",1975-04-05
"063 449 4257",2017-01-26,2,,"B",1966-03-20
"01 669 3699",2012-01-12,1,,"C2",1991-09-03
"0402 639 9661",2018-04-22,2,,"E",1973-01-07
"064 305 1777",2013-08-21,1,,"C1",1972-07-08
"021 304 0185",2018-01-07,2,,"C2",1985-11-18
"01 377 1905",2012-11-02,1,,"C1",1994-06-06
"044 697 0451",2015-05-15,2,,"C1",1967-11-20
"01 802 2960",2014-02-08,3,,"D",1992-01-10
"069 388 5823",2018-05-11,1,,"D",1969-10-15
"025 675 4016",2016-09-05,3,,"C1",1986-12-15
"098 000 1744",2015-06-20,2,2018-07-01,"B",1952-09-28
"099 649 2334",2013-03-09,1,,"A",1981-10-10
"01 154 3334",2014-07-18,3,,"A",1960-11-20
"01 476 5219",2014-02-07,3,,"C1",1970-09-26
"066 414 8639",2015-07-15,2,,"C2",1956-08-30
"01 350 0595",2018-05-22,1,,"E",1967-12-12
"099 601 6572",2012-12-14,3,,"C1",1951-03-26
"01 816 1869",2012-06-27,2,,"D",1997-07-24
"025 615 3969",2016-05-16,3,,"C2",1962-08-10
"028 553 7224",2015-11-19,3,,"C1",1985-09-11
"01 879 6433",2015-06-02,1,,"C2",1962-06-29
"094 498 5229",2012-06-20,3,,"E",1990-07-30
"046 326 3597",2013-04-24,2,,"C2",1970-11-07
"021 237 5165",2013-11-15,2,,"C2",1974-01-12
"064 028 5068",2014-01-01,2,,"E",1992-12-16
"058 879 9282",2014-01-16,3,,"C1",1991-08-12
"026 625 2918",2013-06-17,1,,"C1",1996-01-26
"061 041 6292",2013-07-26,1,2018-07-01,"C1",1954-05-19
"027 079 8658",2017-06-05,3,,"D",1950-02-12
"053 502 1403",2013-04-26,3,,"B",1959-05-29
"01 911 7837",2013-12-15,2,,"D",1951-08-04
"025 240 9399",2012-01-18,1,,"B",1956-04-11
"01 053 6007",2013-07-03,2,2018-07-01,"B",1999-04-08
"01 909 2291",2013-10-09,1,,"C2",1995-01-15
"01 590 5118",2016-01-04,2,,"B",1963-12-09
"051 043 8341",2012-05-01,3,,"C1",1971-06-07
"091 749 8024",2015-02-03,1,2018-07-01,"C2",1992-08-24
"01 737 3148",2017-12-24,1,,"C1",1968-09-15
"053 740 5406",2016-06-30,1,,"C1",1999-05-15
"01 991 7727",2018-02-14,1,,"B",1999-08-29
"065 114 2496",2018-08-01,3,,"D",1991-07-28
"01 007 3292",2017-07-14,2,,"D",1981-04-11
"01 121 6154",2016-11-12,3,,"C2",1992-05-03
"01 213 7094",2012-10-28,1,,"A",1985-06-05
"01 535 2894",2015-01-23,1,,"C1",1959-09-29
"052 716 5780",2015-02-11,3,,"B",1994-07-20
"064 070 2943",2014-12-05,1,,"C1",1980-08-08
"01 897 1568",2018-10-26,2,,"C2",1979-08-30
"044 396 3716",2013-06-06,3,,"B",1973-02-11
"01 952 9777",2016-06-24,3,,"D",1966-09-08
"058 380 7071",2015-12-19,2,,"C1",1984-12-22
"059 716 6104",2015-02-12,1,2018-07-01,"C2",1982-01-15
"095 874 5782",2018-05-01,1,,"C2",1975-08-30
"01 060 5238",2018-05-24,3,,"C2",1970-03-27
"01 442 0634",2014-03-01,2,,"B",1950-03-29
"01 489 8861",2013-06-18,2,,"C2",1954-02-10
"044 319 0001",2015-05-13,1,,"B",1982-05-10
"01 578 3181",2018-04-26,2,,"C2",1983-04-05
"095 023 1065",2012-06-23,2,,"C2",1968-07-13
"052 598 4236",2016-08-28,1,,"D",1987-02-02
"01 290 6636",2012-08-17,2,,"C2",1952-04-28
"0505 533 1599",2017-09-14,1,,"C1",1996-12-25
"01 673 0079",2014-07-15,2,,"B",1983-12-29
"01 693 8888",2016-03-13,2,,"C1",1981-06-21
"068 532 2961",2013-05-03,3,,"D",1996-04-09
"068 546 7152",2015-11-30,1,,"B",1957-08-23
"062 489 7077",2016-04-07,1,,"B",1959-06-21
"071 090 7117",2013-10-15,2,,"C1",1963-04-15
"01 973 5474",2016-05-12,3,,"C1",1986-10-17
"093 669 0056",2012-06-04,3,,"B",1955-11-03
"074 205 6798",2018-10-26,2,,"C2",1976-08-22
"062 711 6444",2013-08-14,3,,"A",1959-03-20
"01 221 2113",2018-09-07,2,,"C2",1978-04-30
"01 548 8172",2016-12-21,2,,"C1",1997-04-22
"01 363 2462",2017-01-28,2,,"C2",1970-07-06
"058 407 2169",2013-12-06,3,,"C1",1997-11-13
"067 684 7927",2012-02-05,3,,"A",1998-12-18
"061 181 7604",2013-08-10,2,,"A",1995-02-10
"01 943 0536",2012-01-11,1,,"E",1976-04-13
"01 117 0350",2017-09-01,3,,"C1",1970-05-14
"01 480 6820",2012-11-01,2,,"C1",1991-06-10
"01 788 9516",2012-01-21,1,,"C2",1983-10-23
"01 016 3612",2017-03-11,3,,"C1",1970-09-09
"027 143 3714",2012-05-24,1,,"C1",1989-06-09
"042 628 2074",2017-12-24,1,,"C1",1974-08-19
"01 317 6412",2016-08-05,2,,"C1",1986-08-06
"065 068 5304",2016-07-06,3,,"C1",1988-03-06
"01 008 8822",2013-11-16,2,2018-07-01,"D",1996-01-18
"01 961 9836",2015-12-08,3,,"D",1984-12-03
"071 542 4778",2016-06-21,2,,"C2",1968-05-18
"026 798 5830",2014-12-03,1,,"C1",1979-03-15
"071 253 5808",2017-11-10,3,,"D",1974-12-01
"074 231 9780",2017-01-19,2,,"D",1986-12-24
"01 277 6197",2017-06-06,2,2018-07-01,"D",1965-10-30
"01 819 3542",2013-08-28,2,,"B",1993-07-13
"01 859 9814",2013-05-10,2,,"C2",1970-10-27
"01 840 7124",2013-02-11,1,,"C1",1986-12-28
"01 406 7801",2015-10-24,2,,"C1",1951-07-07
"01 048 0712",2015-03-19,2,,"C1",1988-04-04
"049 208 4018",2017-04-30,1,,"C1",1959-06-25
"01 971 7677",2017-11-09,1,,"C2",1965-05-27
"01 959 2444",2013-12-06,3,,"B",1996-06-10
"01 485 6954",2016-01-14,2,,"E",1963-08-13
"098 811 4789",2014-01-27,3,,"D",1953-05-09
"097 720 2272",2014-10-19,3,,"B",1952-11-25
"01 830 2590",2015-07-22,3,,"B",1979-12-19
"01 746 8398",2018-02-04,1,,"E",1962-04-22
"01 875 1047",2016-04-27,1,,"E",1953-08-21
"01 901 2591",2012-01-01,2,,"B",1982-01-17
"023 570 2710",2017-06-16,3,,"C2",1968-01-01
"01 864 6050",2015-12-15,3,,"B",1950-09-14
"043 614 5156",2012-03-12,1,,"B",1964-12-01
"044 372 2836",2012-08-03,3,,"C2",1997-09-01
"01 634 2743",2014-03-10,2,,"C1",1998-09-24
"071 303 9938",2018-08-26,2,,"C2",1955-04-30
"01 983 4181",2012-12-20,3,,"E",1977-12-11
"094 528 4594",2014-04-04,1,,"C2",1964-01-19
"01 920 6462",2018-06-18,3,2018-07-01,"C2",1991-11-27
"048 464 2967",2015-05-08,2,2018-07-01,"C2",1983-02-01
"098 116 6246",2013-06-28,1,,"C1",1995-12-13
"01 136 6253",2012-06-29,2,,"B",1962-02-12
"01 574 9611",2014-02-12,1,,"E",1979-06-11
"062 206 1783",2015-01-19,2,,"C1",1952-11-23
"01 175 7541",2014-12-15,2,,"B",1969-09-07
"01 362 6681",2017-02-12,2,,"C1",1998-08-26
"01 134 1681",2017-08-16,3,,"B",1995-03-13
"056 125 3867",2015-04-05,1,,"A",1954-05-20
"01 723 2045",2017-12-11,2,,"B",1968-11-21
"01 745 0053",2012-04-12,1,,"B",1950-10-03
"01 769 3304",2014-09-19,1,,"B",1992-02-29
"01 077 4269",2013-05-07,1,,"B",1962-02-03
"01 875 6621",2017-08-13,1,,"C1",1973-11-10
"042 061 8928",2016-01-02,3,,"D",1997-12-31
"042 853 5294",2014-01-06,1,,"C2",1987-01-18
"01 108 9332",2016-06-27,1,,"E",1953-08-02
"01 795 9147",2017-06-10,1,,"D",1976-05-09
"052 997 8641",2015-11-21,2,,"D",1982-02-15
"01 334 1173",2017-07-11,2,,"C1",1960-12-04
"01 722 4472",2014-04-22,2,,"D",1988-07-17
"01 854 9355",2017-04-16,1,,"B",1980-03-02
"01 748 3061",2016-05-19,1,,"B",1998-04-05
"021 100 4542",2015-11-14,1,,"C2",1987-02-21
"057 479 9903",2016-10-14,1,,"B",1961-07-11
"097 727 9881",2013-06-17,2,,"D",1986-11-15
"046 334 8384",2014-05-18,2,,"C1",1978-02-26
"041 502 2077",2014-01-24,3,,"C2",1954-12-03
"01 217 5387",2017-10-12,2,,"C1",1993-05-15
"01 826 2072",2014-02-25,1,,"B",1969-01-18
"095 631 3763",2017-04-17,2,,"B",1999-10-16
"0404 319 6832",2015-01-08,3,,"C2",1976-03-29
"057 092 8958",2014-01-30,3,,"C1",1992-04-03
"01 964 6949",2016-07-07,2,,"B",1955-04-10
"098 198 7056",2013-06-20,2,,"C1",1951-05-26
"01 963 8504",2012-10-20,3,,"C2",1985-11-08
"01 546 9671",2012-03-31,1,,"D",1961-07-27
"01 390 9447",2015-01-08,1,,"E",1953-08-01
"01 790 1996",2018-02-21,1,2018-07-01,"C2",1960-03-17
"01 928 9725",2018-10-11,1,,"C1",1991-08-11
"056 068 1726",2014-05-01,2,2018-07-01,"D",1998-11-09
"01 349 8719",2016-01-13,3,,"C1",1961-07-20
"068 063 8988",2017-06-30,2,,"C2",1988-08-23
"01 297 7861",2012-12-04,1,2018-07-01,"B",1982-08-02
"01 471 8640",2012-02-28,2,,"B",1984-09-02
"01 041 4102",2016-02-10,2,2018-07-01,"B",1954-11-23
"047 291 1812",2018-05-06,1,,"C1",1978-03-21
"01 927 3053",2016-12-05,2,,"E",1982-11-08
"025 381 1639",2016-05-06,2,,"C2",1954-12-07
"090 686 3639",2015-10-16,2,,"C2",1978-08-27
"01 897 9063",2018-04-27,3,,"D",1960-04-23
"024 063 2183",2012-07-17,2,,"C2",1979-08-23
"01 657 2960",2015-04-30,1,,"E",1958-06-28
"01 493 9965",2013-10-27,1,,"C2",1998-11-11
"01 927 0260",2014-10-20,3,,"C1",1960-06-20
"043 967 6627",2012-01-21,3,,"C1",1989-02-09
"01 320 4343",2012-01-27,1,,"C1",1998-08-05
"01 059 0537",2014-05-24,3,,"C1",1996-09-14
"01 990 1846",2017-06-19,3,,"C2",1956-12-01
"046 098 6664",2015-05-21,2,,"B",1951-08-12
"027 075 7544",2016-11-25,3,,"C1",1993-03-04
"01 319 2864",2013-01-31,2,,"B",1983-08-02
"057 093 6415",2014-05-22,3,,"C1",1957-05-08
"0504 067 7283",2012-11-19,3,,"A",1955-09-05
"094 214 5942",2017-09-28,3,2018-07-01,"D",1959-10-20
"091 817 8252",2015-05-31,2,2018-07-01,"C1",1956-05-31
"074 958 1695",2017-12-16,1,,"E",1974-05-11
"026 063 6678",2013-01-04,1,,"C1",1989-01-02
"097 729 1887",2016-01-17,3,,"C1",1952-07-23
"01 365 6440",2014-05-16,2,2018-07-01,"C2",1982-04-14
"01 584 3772",2013-05-20,1,,"B",1953-08-15
"063 890 9452",2012-10-30,1,,"C1",1978-02-18
"01 022 2081",2013-11-12,1,2018-07-01,"D",1964-07-16
"068 063 9845",2013-10-23,1,,"C1",1963-04-08
"01 378 6098",2016-06-23,3,,"C1",1984-01-31
"052 215 0442",2013-03-08,1,,"C2",1995-09-13
"027 270 5381",2014-12-13,2,,"E",1998-02-28
"071 928 8680",2013-11-02,3,,"A",1991-05-09
"01 413 6606",2012-05-14,1,,"B",1974-08-06
"057 972 2657",2018-08-25,2,,"B",1959-10-26
"01 907 0616",2013-08-10,1,,"C1",1973-02-18
"052 998 4148",2017-05-07,3,,"B",1964-12-25
"042 240 7729",2018-09-02,2,,"C1",1957-09-13
"0504 278 6623",2014-09-12,3,,"C2",1980-04-22
"058 596 1441",2017-05-04,1,,"C2",1993-08-03
"01 526 5882",2015-04-02,2,,"D",1955-09-02
"01 502 2002",2016-07-06,3,,"B",1995-08-13
"01 825 5474",2013-11-09,2,,"B",1987-02-03
"024 731 5914",2012-07-04,3,2018-07-01,"B",1964-09-03
"064 046 4419",2016-07-21,1,,"C1",1984-10-27
"01 313 2185",2015-06-05,2,2018-07-01,"D",1973-04-26
"01 001 9466",2015-07-29,3,,"C2",1951-07-31
"01 075 3666",2018-03-05,3,2018-07-01,"C2",1979-01-24
"01 439 4735",2014-02-23,3,2018-07-01,"C2",1961-01-31
"090 709 0000",2012-06-27,1,2018-07-01,"D",1960-11-26
"01 521 1526",2017-10-20,2,,"B",1978-04-05
"021 181 2482",2013-08-06,1,,"C2",1954-05-07
"021 282 3653",2018-03-06,3,,"E",1957-02-08
"029 428 6357",2018-08-15,1,,"C1",1988-09-03
"064 514 9837",2017-09-24,3,,"C1",1990-10-30
"052 047 9718",2017-11-30,1,,"C2",1958-10-27
"01 214 2043",2017-07-23,1,,"D",1977-05-29
"01 615 8334",2018-10-13,1,,"C2",1953-10-27
"028 817 5945",2013-08-23,2,,"B",1959-11-20
"026 359 4524",2012-05-07,2,,"C1",1999-08-24
"01 490 0057",2012-06-21,2,,"A",1955-11-17
"01 505 4583",2012-07-30,3,,"E",1961-11-15
"059 203 3427",2016-12-15,2,,"E",1994-06-24
"041 335 0580",2014-11-29,1,,"C1",1994-10-30
"074 979 4419",2017-07-26,2,,"D",1980-08-27
"044 187 1400",2012-08-30,3,,"E",1975-02-15
"01 045 5169",2013-02-24,1,2018-07-01,"D",1953-05-17
"01 420 8917",2016-07-28,3,,"B",1975-08-10
"01 221 6502",2013-04-29,2,,"D",1994-08-14
"01 930 9170",2014-10-24,1,,"B",1992-11-18
"01 545 3025",2016-04-13,1,,"E",1965-12-13
"01 746 9841",2012-07-21,2,,"C1",1990-02-04
"022 318 8223",2016-05-31,2,,"E",1962-09-16
"049 003 4219",2017-11-17,3,,"C1",1998-02-12
"01 735 8991",2017-12-23,2,,"B",1957-11-08
"01 381 2008",2014-02-02,3,,"B",1974-03-16
"094 269 1090",2017-12-09,2,,"C1",1976-07-06
"045 303 7519",2014-12-05,3,,"D",1967-10-11
"049 588 0968",2017-11-25,2,,"D",1981-10-22
"01 569 2192",2017-02-16,3,,"C2",1989-06-21
"01 588 4812",2015-03-17,1,,"B",1957-06-20
"063 933 2853",2017-09-06,3,,"A",1968-09-04
"01 635 5383",2015-03-12,1,,"C1",1989-06-27
"044 238 9129",2018-10-26,2,,"C2",1955-12-27
"056 691 4990",2013-08-16,1,,"C1",1993-09-14
"044 433 3369",2014-04-22,2,,"C1",1975-07-08
"01 878 6875",2018-03-20,2,,"C1",1992-12-04
"044 427 6175",2013-03-28,1,,"D",1984-01-27
"01 183 8431",2017-07-14,2,,"D",1993-02-08
"0402 234 6670",2013-09-03,3,,"B",1950-05-25
"01 054 6404",2016-12-01,2,,"C2",1978-11-08
"01 252 5740",2018-05-06,2,,"D",1984-09-16
"01 227 4859",2014-01-20,1,,"B",1968-10-13
"0505 123 2715",2013-11-21,1,,"C2",1999-11-04
"059 104 0303",2016-05-09,1,,"C1",1999-08-18
"01 146 4694",2017-12-15,2,,"C1",1951-02-04
"048 570 5737",2017-12-25,3,2018-07-01,"C1",1968-08-10
"096 656 0250",2017-06-20,2,,"C1",1983-08-30
"0404 038 6076",2018-07-01,2,,"B",1970-07-22
"048 916 8841",2015-02-07,2,,"C2",1995-06-06
"01 552 5393",2016-03-21,3,,"C2",1979-06-14
"021 884 4933",2013-11-26,3,,"B",1954-03-02
"01 055 2185",2012-10-05,1,,"D",1985-07-15
"041 261 7385",2018-04-08,1,2018-07-01,"C2",1953-02-16
"052 541 9294",2016-01-24,2,,"B",1969-03-14
"01 721 7019",2012-02-05,1,,"D",1952-06-23
"095 245 6667",2013-01-13,1,,"B",1999-01-13
"01 162 8735",2013-12-11,3,,"E",1974-06-04
"01 101 4560",2014-12-26,1,,"C2",1995-03-10
"048 002 0889",2014-08-01,3,,"D",1962-04-16
"01 327 7163",2015-06-20,1,,"B",1986-01-12
"01 997 0352",2015-06-21,3,,"C1",1981-07-27
"01 057 1785",2017-08-18,2,,"B",1964-10-26
"048 082 5351",2015-07-05,1,,"D",1969-07-13
"051 134 2098",2015-10-30,1,,"B",1977-07-14
"056 100 2916",2016-02-06,3,2018-07-01,"C2",1970-05-30
"056 651 0697",2017-08-28,1,,"C2",1956-10-09
"027 765 7749",2012-08-09,3,,"C2",1973-06-17
"01 184 0959",2013-09-11,1,2018-07-01,"C1",1970-01-19
"0505 724 5905",2017-01-23,2,,"C2",1986-11-16
"01 686 6690",2018-04-14,3,,"C1",1964-11-23
"01 717 8727",2016-02-02,3,,"C1",1978-03-06
"01 061 3631",2013-05-11,1,,"C1",1988-12-25
"0504 516 5966",2012-12-14,3,,"C1",1967-04-20
"01 448 4788",2016-07-04,1,,"D",1974-08-17
"043 959 7102",2014-11-28,2,,"C1",1972-01-02
"027 157 3279",2013-07-17,1,,"C2",1956-03-29
"063 679 3111",2015-05-03,2,,"C1",1963-09-09
"01 597 4864",2017-02-19,3,,"C1",1977-10-08
"01 162 8337",2017-10-01,1,,"C2",1979-04-03
"022 561 9031",2017-08-12,2,2018-07-01,"C2",1985-02-10
"0402 958 3438",2017-10-16,2,2018-07-01,"E",1974-01-25
"01 429 7675",2015-03-19,2,,"D",1956-07-17
"0504 222 9422",2016-10-06,2,,"C2",1957-08-27
"01 059 9007",2018-04-15,1,,"B",1969-12-07
"097 875 0777",2013-07-19,1,,"D",1957-12-05
"049 205 7669",2013-07-09,3,2018-07-01,"E",1976-11-11
"046 068 8516",2016-12-01,3,,"B",1993-10-16
"094 845 6824",2017-05-30,1,,"C1",1999-10-31
"01 898 7493",2016-09-27,3,,"B",1974-03-24
"0505 066 8707",2014-07-07,3,,"C1",1963-08-09
"01 796 1235",2018-09-08,1,,"B",1993-10-28
"0404 809 5711",2013-10-20,3,,"D",1976-09-01
"023 099 0919",2016-09-01,2,2018-07-01,"A",1989-04-21
"01 968 8192",2013-06-25,3,,"B",1987-01-13
"01 955 4338",2015-04-02,2,,"C2",1983-01-29
"098 681 3162",2017-02-10,3,,"C1",1958-11-02
"043 986 0853",2014-03-04,3,,"C1",1982-01-19
"044 755 8162",2014-01-30,1,,"B",1999-12-11
"01 531 6330",2017-05-04,2,,"C1",1983-09-09
"01 149 8342",2013-09-08,2,,"C1",1965-12-22
"01 619 3439",2017-06-10,1,,"A",1960-11-14
"099 828 2394",2017-06-03,2,,"D",1959-07-07
"01 322 3035",2015-04-03,3,,"C1",1977-06-18
"046 825 1844",2018-02-10,2,,"E",1960-09-23
"01 501 7238",2015-12-08,1,,"C2",1989-08-02
"01 962 2309",2017-02-12,2,,"C2",1978-02-13
"01 805 0353",2012-08-05,3,,"C2",1984-04-09
"045 489 9878",2018-07-17,1,,"C2",1970-07-17
"01 385 2148",2014-10-23,1,,"C1",1992-06-15
"01 760 2933",2012-03-16,1,,"D",1986-05-31
"049 123 0953",2017-02-15,2,,"B",1994-11-28
"01 765 9666",2015-05-14,2,,"B",1970-05-15
"068 359 1157",2014-12-10,1,,"C1",1978-09-28
"01 353 7755",2014-02-19,3,2018-07-01,"C2",1978-05-06
"026 123 2025",2018-02-07,3,,"B",1960-09-07
"01 009 7722",2016-10-19,3,,"B",1969-12-09
"01 521 0949",2013-12-31,2,,"C1",1985-06-11
"029 787 0861",2014-08-06,3,,"B",1953-08-27
"057 024 8249",2016-06-07,2,,"C1",1990-02-23
"042 749 8588",2018-10-22,3,,"D",1982-03-01
"053 854 5819",2014-03-07,1,,"C2",1970-08-06
"01 476 9365",2016-01-04,2,,"C2",1979-10-24
"025 773 5870",2012-07-11,1,,"D",1997-08-22
